,text,logical_form
10,"The Court holds that the respondent State is to pay the applicant, within three months, EUR 7,000 (seven thousand euros), plus any tax that may be chargeable, in respect of non-pecuniary damage","Court(\a)^Decide(\b)^Must(\c)^DecidedObject(\b, \c)^Pay(\d)^MustObject(\c, \d)^State(\e)^Respondent(\e)^PaidSubject(\d, \e)^Timeframe(\f)^TimeframeLength(\f, 3 months)^TimeframeType(\f, within)^TimeframeEvent(\f, \c)^Money(\h)^PaidObject(\d, \h)^MoneyAmount(\h, 7,000 )^Applicant(\i)^PaidTo(\d, \i))^MoneyCurrency(\h, eur)^Damage(\j)^NonPecuniary(\j)^MoneyFor(\h, \j)^(all(\k), Tax(\k)^Charge(\l)^ChargedObject(l, k) -> PaidObject(\d, \k))"
11,The Court holds that there is no need to examine separately the complaint under Article 11 of the Convention,"Court(\a)^Decide(\b)^Must(\c)^DecidedObject(\b, ~\c)^Examine(\d)^MustObject(\c, \d)^Separately(\d)^Complaint(\f)^ExaminedObject(\d, \f)^Convention(\j)^ConventionName(\j, European Convention of Human Rights)^Article(\k)^ArticleNumber(\k, 11)^ArticleSource(\k, \j)^BasedOn(\b, \k)"
12,"The Court holds that the respondent State is to pay the applicant, within three months from the date on which the judgment becomes final in accordance with Article 44 § 2 of the Convention, EUR 6,000 (six thousand euros) in respect of non-pecuniary damage and EUR 300 (three hundred euros) in respect of costs and expenses, to be converted into the national currency of the respondent State at the rate applicable at the date of settlement, plus any tax that may be chargeable","Court(\a)^Decide(\b)^Must(\c)^DecidedObject(\b, \c)^Pay(\d)^MustObject(\c, \d)^State(\e)^Respondent(\e)^PaidSubject(\d, \e)^Timeframe(\f)^TimeframeLength(\f, 3 months)^TimeframeType(\f, within)^TimeframeEvent(\f, \c)^Money(\h)^PaidObject(\d, \h)^Money(\i)^MemberOf(\i, \h)^MoneyAmount(\i, 6,000 )^Money(\j)^MemberOf(\j, \h)^MoneyAmount(\j, 300 )^Applicant(\k)^PaidTo(\d, \k))^BecomeFinal(\l)^BecomeFinalObject(\l, \b)^TimeframeStart(\f, \l)^Convention(\m)^ConventionName(\m, European Convention of Human Rights)^Article(\n)^ArticleNumber(\n, 44)^ArticleParagraph(\n, 2)^ArticleSource(\n, \m)^BasedOn(\l, \n)^MoneyCurrency(\h, eur)^Damage(\o)^NonPecuniary(\o)^MoneyFor(\i, \o)^Expenses(\p)^MoneyFor(\j, \p)^(all(\q), Tax(\q)^Charge(\r)^ChargedObject(r, q) -> PaidObject(\d, \q))^Convert(\s)^MustObject(\c, \s)^ConvertedObject(\s, \h)^Currency(\t)^ConvertedInto(\s, \t)^Belong(\t, \e)^Rate(\u)^Apply(\v)^AppliedObject(\v, \u)^ConvertedRate(\s, \u)^Timeframe(\w)^TimeframeEvent(\w, \v)^Settle(\x)^TimeframeEvent(\w, \x)"
13,"The Court holds that the respondent State is to pay the applicants, within three months from the date on which the judgment becomes final, in accordance with Article 44 § 2 of the Convention, EUR 5,850 (five thousand eight hundred and fifty euros) each, plus any tax that may be chargeable, in respect of non-pecuniary damage, to be converted into the currency of the respondent State at the rate applicable at the date of settlement","Court(\a)^Decide(\b)^Must(\c)^DecidedObject(\b, \c)^Pay(\d)^MustObject(\c, \d)^State(\e)^Respondent(\e)^PaidSubject(\d, \e)^Timeframe(\f)^TimeframeLength(\f, 3 months)^TimeframeType(\f, within)^TimeframeEvent(\f, \c)^Money(\h)^PaidObject(\d, \h)^MoneyAmount(\h, 5,850 )^Applicants(\i)^(all(\j), Applicant(\j)^MemberOf(\j, \i) -> PaidTo(\d, \j))^BecomeFinal(\k)^BecomeFinalObject(\k, \b)^TimeframeStart(\f, \k)^Convention(\l)^ConventionName(\l, European Convention of Human Rights)^Article(\m)^ArticleNumber(\m, 44)^ArticleParagraph(\m, 2)^ArticleSource(\m, \l)^BasedOn(\k, \m)^MoneyCurrency(\h, eur)^Damage(\n)^NonPecuniary(\n)^MoneyFor(\h, \n)^(all(\o), Tax(\o)^Charge(\p)^ChargedObject(p, o) -> PaidObject(\d, \o))^Convert(\q)^MustObject(\c, \q)^ConvertedObject(\q, \h)^Currency(\r)^ConvertedInto(\q, \r)^Belong(\r, \e)^Rate(\s)^Apply(\t)^AppliedObject(\t, \s)^ConvertedRate(\q, \s)^Timeframe(\u)^TimeframeEvent(\u, \t)^Settle(\v)^TimeframeEvent(\u, \v)"
14,"The Court holds that the respondent State is to pay the applicant, within three months from the date on which the judgment becomes final in accordance with Article 44 § 2 of the Convention, EUR 1,500 (one thousand five hundred euros) in respect of non-pecuniary damage, to be converted into the national currency of the respondent State at the rate applicable at the date of settlement, plus any tax that may be chargeable","Court(\a)^Decide(\b)^Must(\c)^DecidedObject(\b, \c)^Pay(\d)^MustObject(\c, \d)^State(\e)^Respondent(\e)^PaidSubject(\d, \e)^Timeframe(\f)^TimeframeLength(\f, 3 months)^TimeframeType(\f, within)^TimeframeEvent(\f, \c)^Money(\h)^PaidObject(\d, \h)^MoneyAmount(\h, 1,500 )^Applicant(\i)^PaidTo(\d, \i))^BecomeFinal(\j)^BecomeFinalObject(\j, \b)^TimeframeStart(\f, \j)^Convention(\k)^ConventionName(\k, European Convention of Human Rights)^Article(\l)^ArticleNumber(\l, 44)^ArticleParagraph(\l, 2)^ArticleSource(\l, \k)^BasedOn(\j, \l)^MoneyCurrency(\h, eur)^Damage(\m)^NonPecuniary(\m)^MoneyFor(\h, \m)^(all(\n), Tax(\n)^Charge(\o)^ChargedObject(o, n) -> PaidObject(\d, \n))^Convert(\p)^MustObject(\c, \p)^ConvertedObject(\p, \h)^Currency(\q)^ConvertedInto(\p, \q)^Belong(\q, \e)^Rate(\r)^Apply(\s)^AppliedObject(\s, \r)^ConvertedRate(\p, \r)^Timeframe(\t)^TimeframeEvent(\t, \s)^Settle(\u)^TimeframeEvent(\t, \u)"
15,"The Court holds that the respondent State is to pay the applicant, within three months from the date on which the judgment becomes final in accordance with Article 44 § 2 of the Convention, EUR 2,500 (two thousand five hundred euros) in respect of non-pecuniary damage, plus any tax that may be chargeable to be converted into the currency of the respondent State at the rate applicable at the date of settlement","Court(\a)^Decide(\b)^Must(\c)^DecidedObject(\b, \c)^Pay(\d)^MustObject(\c, \d)^State(\e)^Respondent(\e)^PaidSubject(\d, \e)^Timeframe(\f)^TimeframeLength(\f, 3 months)^TimeframeType(\f, within)^TimeframeEvent(\f, \c)^Money(\h)^PaidObject(\d, \h)^MoneyAmount(\h, 2,500 )^Applicant(\i)^PaidTo(\d, \i))^BecomeFinal(\j)^BecomeFinalObject(\j, \b)^TimeframeStart(\f, \j)^Convention(\k)^ConventionName(\k, European Convention of Human Rights)^Article(\l)^ArticleNumber(\l, 44)^ArticleParagraph(\l, 2)^ArticleSource(\l, \k)^BasedOn(\j, \l)^MoneyCurrency(\h, eur)^Damage(\m)^NonPecuniary(\m)^MoneyFor(\h, \m)^(all(\n), Tax(\n)^Charge(\o)^ChargedObject(o, n) -> PaidObject(\d, \n))^Convert(\p)^MustObject(\c, \p)^ConvertedObject(\p, \h)^Currency(\q)^ConvertedInto(\p, \q)^Belong(\q, \e)^Rate(\r)^Apply(\s)^AppliedObject(\s, \r)^ConvertedRate(\p, \r)^Timeframe(\t)^TimeframeEvent(\t, \s)^Settle(\u)^TimeframeEvent(\t, \u)"
16,"The Court holds that the respondent State is to pay the applicant, within three months, EUR 2,800 (two thousand eight hundred euros), plus any tax that may be chargeable, in respect of non-pecuniary damage","Court(\a)^Decide(\b)^Must(\c)^DecidedObject(\b, \c)^Pay(\d)^MustObject(\c, \d)^State(\e)^Respondent(\e)^PaidSubject(\d, \e)^Timeframe(\f)^TimeframeLength(\f, 3 months)^TimeframeType(\f, within)^TimeframeEvent(\f, \c)^Money(\h)^PaidObject(\d, \h)^MoneyAmount(\h, 2,800 )^Applicant(\i)^PaidTo(\d, \i))^MoneyCurrency(\h, eur)^Damage(\j)^NonPecuniary(\j)^MoneyFor(\h, \j)^(all(\k), Tax(\k)^Charge(\l)^ChargedObject(l, k) -> PaidObject(\d, \k))"
17,"The Court holds that the respondent State is to pay the applicant, within three months from the date on which the judgment becomes final according to Article 44 § 2 of the Convention, EUR 88,000 (eighty-eight thousand euros) in respect of costs and expenses, to be converted into the national currency of the respondent State at the rate applicable at the date of settlement, plus any tax that may be chargeable","Court(\a)^Decide(\b)^Must(\c)^DecidedObject(\b, \c)^Pay(\d)^MustObject(\c, \d)^State(\e)^Respondent(\e)^PaidSubject(\d, \e)^Timeframe(\f)^TimeframeLength(\f, 3 months)^TimeframeType(\f, within)^TimeframeEvent(\f, \c)^Money(\h)^PaidObject(\d, \h)^MoneyAmount(\h, 88,000 )^Applicant(\i)^PaidTo(\d, \i))^BecomeFinal(\j)^BecomeFinalObject(\j, \b)^TimeframeStart(\f, \j)^Convention(\k)^ConventionName(\k, European Convention of Human Rights)^Article(\l)^ArticleNumber(\l, 44)^ArticleParagraph(\l, 2)^ArticleSource(\l, \k)^BasedOn(\j, \l)^MoneyCurrency(\h, eur)^Expenses(\m)^MoneyFor(\h, \m)^(all(\n), Tax(\n)^Charge(\o)^ChargedObject(o, n) -> PaidObject(\d, \n))^Convert(\p)^MustObject(\c, \p)^ConvertedObject(\p, \h)^Currency(\q)^ConvertedInto(\p, \q)^Belong(\q, \e)^Rate(\r)^Apply(\s)^AppliedObject(\s, \r)^ConvertedRate(\p, \r)^Timeframe(\t)^TimeframeEvent(\t, \s)^Settle(\u)^TimeframeEvent(\t, \u)"
18,"The Court holds that the respondent State is to pay the applicant, within three months from the date on which the judgment becomes final in accordance with Article 44 § 2 of the Convention, EUR 21,700 (twenty-one thousand seven hundred euros), plus any tax that may be chargeable, in respect of pecuniary damage, to be converted into Turkish liras at the rate applicable at the date of settlement","Court(\a)^Decide(\b)^Must(\c)^DecidedObject(\b, \c)^Pay(\d)^MustObject(\c, \d)^State(\e)^Respondent(\e)^PaidSubject(\d, \e)^Timeframe(\f)^TimeframeLength(\f, 3 months)^TimeframeType(\f, within)^TimeframeEvent(\f, \c)^Money(\h)^PaidObject(\d, \h)^MoneyAmount(\h, 21,700 )^Applicant(\i)^PaidTo(\d, \i))^BecomeFinal(\j)^BecomeFinalObject(\j, \b)^TimeframeStart(\f, \j)^Convention(\k)^ConventionName(\k, European Convention of Human Rights)^Article(\l)^ArticleNumber(\l, 44)^ArticleParagraph(\l, 2)^ArticleSource(\l, \k)^BasedOn(\j, \l)^MoneyCurrency(\h, eur)^Damage(\m)^Pecuniary(\m)^MoneyFor(\h, \m)^(all(\n), Tax(\n)^Charge(\o)^ChargedObject(o, n) -> PaidObject(\d, \n))^Convert(\p)^MustObject(\c, \p)^ConvertedObject(\p, \h)^Currency(\q)^ConvertedInto(\p, \q)^CurrencyName(\q, turkish liras)^Rate(\r)^Apply(\s)^AppliedObject(\s, \r)^ConvertedRate(\p, \r)^Timeframe(\t)^TimeframeEvent(\t, \s)^Settle(\u)^TimeframeEvent(\t, \u)"
19,"The Court holds that the respondent State is to pay the applicant, within three months, EUR 5,000 (five thousand euros) in respect of nonpecuniary damage, plus any tax that may be chargeable, to be converted into the national currency of the respondent State at the rate applicable at the date of settlement","Court(\a)^Decide(\b)^Must(\c)^DecidedObject(\b, \c)^Pay(\d)^MustObject(\c, \d)^State(\e)^Respondent(\e)^PaidSubject(\d, \e)^Timeframe(\f)^TimeframeLength(\f, 3 months)^TimeframeType(\f, within)^TimeframeEvent(\f, \c)^Money(\h)^PaidObject(\d, \h)^MoneyAmount(\h, 5,000 )^Applicant(\i)^PaidTo(\d, \i))^MoneyCurrency(\h, eur)^Damage(\j)^NonPecuniary(\j)^MoneyFor(\h, \j)^(all(\k), Tax(\k)^Charge(\l)^ChargedObject(l, k) -> PaidObject(\d, \k))^Convert(\m)^MustObject(\c, \m)^ConvertedObject(\m, \h)^Currency(\n)^ConvertedInto(\m, \n)^Belong(\n, \e)^Rate(\o)^Apply(\p)^AppliedObject(\p, \o)^ConvertedRate(\m, \o)^Timeframe(\q)^TimeframeEvent(\q, \p)^Settle(\r)^TimeframeEvent(\q, \r)"
20,The Court dismisses unanimously the remainder of the applicants' claims for just satisfaction.,"Court(\a)^Decide(\b)^Dismiss(\c)^DecidedObject(\b, \c)^Claims(\d)^Rest(\e)^RestObject(\e, \d)^DismissedObject(\c, \e)^Reason(\b, just satisfaction)^Applicants(\f)^Owner(\d, \f)^VotesFor(\b, 7)^VotesAgainst(\b, 0)"
21,"The Court holds that the respondent State is to pay the applicant, within three months from the date on which the judgment becomes final according to Article 44 § 2 of the Convention, EUR 3,000 (three thousand euros) in respect of costs and expenses, plus any tax that may be chargeable on that amount","Court(\a)^Decide(\b)^Must(\c)^DecidedObject(\b, \c)^Pay(\d)^MustObject(\c, \d)^State(\e)^Respondent(\e)^PaidSubject(\d, \e)^Timeframe(\f)^TimeframeLength(\f, 3 months)^TimeframeType(\f, within)^TimeframeEvent(\f, \c)^Money(\h)^PaidObject(\d, \h)^MoneyAmount(\h, 3,000 )^Applicant(\i)^PaidTo(\d, \i))^BecomeFinal(\j)^BecomeFinalObject(\j, \b)^TimeframeStart(\f, \j)^Convention(\k)^ConventionName(\k, European Convention of Human Rights)^Article(\l)^ArticleNumber(\l, 44)^ArticleParagraph(\l, 2)^ArticleSource(\l, \k)^BasedOn(\j, \l)^MoneyCurrency(\h, eur)^Expenses(\m)^MoneyFor(\h, \m)^(all(\n), Tax(\n)^Charge(\o)^ChargedObject(o, n)^TaxOn(\n, \h) -> PaidObject(\d, \n))"
